,year,MUGU,KALIKOT,JUMLA,HUMLA
20,1970,1143.86848948836,1849.93109746301,1526.47004289525,1174.3317693336
21,1971,1357.16179032134,1949.4796066764623,1634.4632901095085,1329.5094853533
22,1972,1077.845635861775,1557.847938422959,1384.0922051410737,1127.9865537716
23,1973,1468.5360093006082,2181.7246320989,1878.3542298736,1273.8361795486
24,1974,1053.772071097368,1473.767982758784,1373.726773233114,1084.64530573336
25,1975,1306.383453303737,1786.4498208073148,1645.7896210672247,1274.79393175016
26,1976,1101.4305596225,1507.248925698862,1313.82385262522,1102.64584408731
27,1977,1133.298077632,1660.556171170468,1422.1074400517084,1171.4443389943199
28,1978,1162.3666197353036,1583.929021784,1411.1604618709,1175.0182511008
29,1979,1095.186884643539,1445.3805751136383,1294.607653821955,1154.7131051706
30,1980,1258.038108137733,1775.050697179767,1609.899157460438,1221.5172197807
31,1981,1185.9848755813198,1758.6497730523283,1511.4412963859338,1147.66541244611
32,1982,1206.974088246567,1645.266021599,1490.8653388049,1238.9725373965
33,1983,1164.66804431087,1730.9390068995167,1480.753089170007,1154.3394272601
34,1984,1065.240865856,1638.57321741352,1403.935683800049,1131.8029447154
35,1985,1188.1146723024633,1681.759572201753,1489.7929526703692,1217.190436633
36,1986,1180.30879815897,1705.467586699757,1469.2133245929,1160.788287628862
37,1987,903.09966800239,1353.1732094456568,1222.2962659710167,987.86436716994
38,1988,1263.687123147767,1878.2863996357,1604.4054347912,1267.572795017456
39,1989,1086.2545976095,1543.981888500302,1392.57579230069,1156.4949976223
40,1990,1234.190612220603,1850.3645289605047,1568.8198805778854,1249.4497079428
41,1991,1076.58895886053,1474.662500141677,1352.4773198951461,1108.0567716558
42,1992,1167.5697952188,1640.4786656247602,1467.479474784531,1184.4733331594
43,1993,1188.0569740013,1728.8398349368567,1447.8199531743924,1238.74057473228
44,1994,1234.1508913041,1604.730255502359,1470.1510981174,1272.4989745877
45,1995,1318.77890234474,1893.562198353103,1646.371284852241,1332.0856506251
46,1996,1371.521714703117,1993.644484292261,1700.6355930698476,1317.4419693041
47,1997,1283.7239338406,1878.1570455069136,1635.496130044112,1296.3363549959
48,1998,1128.8804025350796,1705.4712233546616,1401.798231836323,1190.49588844561
49,1999,1114.109575301783,1630.5920873398427,1385.890544503157,1189.310982042768
50,2000,1419.96280526927,1825.804866237521,1598.15969425519,1456.5729976819
51,2001,1065.7891809677938,1498.9050746043595,1366.8724830243998,1050.210334299536
52,2002,1216.1155171443668,1721.479289784246,1485.0128764676201,1218.97160558348
53,2003,1201.268491164463,1830.4888304524723,1560.720965494146,1202.6558190017965
54,2004,992.33142948578,1337.0813320766385,1195.5444737263554,1022.3157543359
55,2005,1262.74761219857,1713.767545219457,1544.5731978011,1219.1041635667
56,2006,1021.230166380702,1398.301030753987,1272.903038280375,1085.4634479137
57,2007,1286.566630450267,2010.6441464238,1631.81390693339,1344.8975405444
58,2008,1247.54346082637,1813.854962642284,1578.649303516061,1276.9849278507
59,2009,1003.64298531468,1573.981815274159,1402.841965264625,1037.0939340148
60,2010,1154.109636172833,1766.4827289312257,1463.463387054054,1191.41214500167
61,2011,1344.5193625109,1884.892526905236,1680.14511394687,1275.85511526367
62,2012,1257.27330994393,1603.856063584976,1496.1238209625847,1280.8876256999
63,2013,1452.3204053029135,2128.7204282027574,1802.0943886870382,1400.547258227629
64,2014,1109.567034530737,1585.762460454587,1445.4907083029311,1164.029967695
65,2015,1175.629727676233,1564.187745860823,1437.55308139865,1159.524889466981
66,2016,1078.4806670422638,1603.1848177761797,1405.055351739,1064.572515107866
67,2017,1266.33555184137,1770.076133521314,1563.096885948115,1291.30555610925
68,2018,1256.92576315764,1822.77872024259,1540.0504267732,1229.2281939923
69,2019,1428.148410535744,2032.0504838832517,1760.957960261774,1442.1571085456999
70,2020,1245.545299461553,1819.560853851247,1632.184817511815,1275.4606323998
71,2021,1593.94713708313,2248.26917773318,2011.10479073072,1549.2881907209
72,2022,1338.936562408437,1820.17579377358,1624.93825401435,1347.8979339625
73,2023,1192.60726242367,1693.6666992091652,1575.789230556135,1144.4498749639
