,year,MUGU,KALIKOT,JUMLA,HUMLA
20,1970,-3.476398407791781,6.3847801906273975,-1.0441983015013698,-7.289035946813699
21,1971,-3.962686247097808,5.944770847330411,-1.4004289219430137,-7.6592981191912335
22,1972,-5.043526794065574,5.713233560240437,-2.562478191043716,-8.649773705387979
23,1973,-4.837638619134246,5.606091352413698,-2.218958794243836,-8.319720246457534
24,1974,-4.101187151554247,5.527844765617808,-1.9355792286284932,-7.62548793281452
25,1975,-4.544726223010959,5.593579824778082,-1.9010493081643836,-8.37915202519178
26,1976,-3.684374954434426,6.112708535316941,-1.1465310017131147,-7.534202718762295
27,1977,-3.3583881536630136,6.197101463523287,-0.8378208311260273,-7.437106745
28,1978,-4.593673030057534,5.194595470539726,-2.421261781671233,-8.101715090934247
29,1979,-4.450708021531507,5.76701774051233,-2.0473308533534245,-8.135224711027398
30,1980,-4.237667915699453,5.314741452349727,-2.0994609837349727,-7.853195816322404
31,1981,-5.156887795282191,5.026764031794521,-2.7134519480301367,-8.782696152169862
32,1982,-4.822595175208219,5.092666938476713,-2.3248488713643836,-8.72836874319726
33,1983,-5.628132708323287,4.827541416635617,-3.0964725200246574,-9.443137921679453
34,1984,-3.832715098147541,5.816239975245901,-1.5816802834234973,-7.502921819423498
35,1985,-4.199055442961644,6.106912951063014,-1.6213702913178083,-7.973564229794521
36,1986,-5.1743204145671235,4.891995441536986,-2.887786779049315,-8.852123632849315
37,1987,-4.5604991871972596,6.09491342300548,-2.061072888966493,-8.151080797452055
38,1988,-3.3594702238442626,6.401822879155738,-1.0604793863633881,-7.042309662680328
39,1989,-4.784737772983561,5.24439289340548,-2.6347815507013697,-8.129246038849315
40,1990,-3.545953685238356,5.984132760252055,-1.0943450947945206,-7.3170381039424655
41,1991,-4.268470696010959,5.455392972334247,-1.9825368615287673,-7.9441380079671235
42,1992,-4.70471808,5.490815190863388,-2.2645473306469945,-8.183315859295082
43,1993,-3.121405422142466,6.005965281049315,-0.7449144306547946,-6.901593972238356
44,1994,-4.023170836315068,5.795215619978083,-1.6303437302767123,-7.616960532632876
45,1995,-4.563745906468493,5.719163118797261,-2.033566850652055,-8.268433112736986
46,1996,-4.624816557751366,5.735611570284973,-2.1406674849945357,-8.185923242901639
47,1997,-5.520010671542465,4.414505970578082,-3.3777739038657537,-9.077534456747946
48,1998,-3.7337026200575343,6.336856293893151,-1.1115596338219178,-7.391827332717809
49,1999,-3.132971704057534,6.630814464336987,-0.611639746189041,-6.913048887528767
50,2000,-3.8157179391010927,5.787100900718579,-1.493510008161202,-7.485296560344262
51,2001,-3.5949036452027396,6.071409003909588,-1.3352847694630137,-7.377678194660274
52,2002,-4.48018549469315,5.856274468208219,-2.0629579872739723,-8.14448576328219
53,2003,-4.202069099920548,5.872047520183561,-1.8040877939780822,-8.004778867219178
54,2004,-4.4541565695573775,6.295133145092896,-1.8712664247021857,-8.046971624759562
55,2005,-4.267384741558904,5.797439730435617,-1.9075866661643837,-7.988644575438356
56,2006,-3.6631494775945206,6.940974247504109,-0.9487778309232877,-7.242728443364384
57,2007,-3.3737554329178083,6.605108989227397,-0.8449849478246575,-7.042605825468493
58,2008,-3.789353463928962,6.334480685202186,-1.2436198987896174,-7.716259645521858
59,2009,-4.237858806805479,7.277362672356164,-1.1495439086931507,-7.978968077824658
60,2010,-2.8211230890630135,7.416082853545205,-0.14397364117534248,-6.703984272071233
61,2011,-3.46017708809863,5.9797489841616445,-1.1916431770821918,-7.066294661810959
62,2012,-4.910068883972677,5.465661602527322,-2.573228624726776,-8.33895203204918
63,2013,-3.9684043260547948,6.349346178945205,-1.3104540863268492,-7.575084169460275
64,2014,-4.93227982360274,5.542025659945206,-2.4985984155123284,-8.352608118558903
65,2015,-4.043987437353425,5.96090590669589,-1.4672804550413698,-7.539452182380822
66,2016,-2.268084630243169,7.315726860773224,0.06717548157923497,-5.953472627639345
67,2017,-3.4265437266986303,6.638550099986301,-1.0605718668027397,-6.8308405059589035
68,2018,-3.299624393016438,6.903151416189041,-0.706622381920548,-7.210240450780822
69,2019,-4.293726498309589,5.660088844052055,-1.9655626532657535,-7.837083203717809
70,2020,-4.082420168401639,6.240708862483606,-1.5002890537978144,-7.638183197530054
71,2021,-3.5201436701506847,7.111231164279452,-0.694811955249315,-7.2478987609342465
72,2022,-3.0037943843698627,6.532410877010959,-0.773430282769863,-6.846731520893151
73,2023,-3.5297438222904107,6.80961394949041,-1.0312446458684932,-7.68733972809863
