year,month,MUGU,KALIKOT,JUMLA,HUMLA
1970,1,63.41661873,61.75819722,64.61931268,77.6868817
1970,2,66.15207523,61.82057077,62.66729872,76.66795462
1970,3,55.08763529,58.73123939,61.39595006,65.90149762
1970,4,25.63963765,37.16057771,55.68235767,24.50178513
1970,5,63.15588322,107.5820849,107.9851188,65.13701506
1970,6,223.4044161,332.638736,282.565253,207.2139051
1970,7,230.9904725,532.093201,367.535062,221.7472253
1970,8,222.9033757,417.5081442,282.1936878,215.3467098
1970,9,130.7969306,165.4422234,168.1378459,131.992449
1970,10,42.10420951,62.82840319,59.34380265,46.27898177
1970,11,8.484139537,10.85743554,10.55632656,19.28861147
1970,12,11.73309541,1.510284148,3.788027046,22.56875286
1971,1,55.97485539,40.07254525,42.30264258,82.64495574
1971,2,77.86326245,75.35493062,78.80557228,89.27966101
1971,3,58.47484664,54.73922238,62.34230802,60.61415722
1971,4,68.9832824,101.561331,92.97892295,53.12562291
1971,5,81.54527317,142.0235732,126.8496714,72.36184396
1971,6,255.5256352,444.9796408,310.0906903,245.5850739
1971,7,235.6226196,327.7890732,272.2424289,217.2554222
1971,8,260.3218739,398.277821,309.215722,243.9820377
1971,9,113.9868689,173.5850118,156.636028,100.6461287
1971,10,111.9695192,161.6090205,157.074155,121.2916758
1971,11,16.54691737,23.79893519,19.33215952,18.02081134
1971,12,20.34683608,5.688501724,6.592989155,24.70209482
1972,1,51.65522395,37.08678011,45.69623482,62.73675081
1972,2,96.79097181,102.9467926,102.0656389,113.2960032
1972,3,67.91063734,72.2750992,88.0413379,67.94685865
1972,4,74.95485664,90.7772772,112.1310048,78.49154018
1972,5,30.47219536,51.49946315,62.80192002,27.80906961
1972,6,86.42974228,140.08833,125.5910457,88.80726625
1972,7,195.0596618,451.7510528,294.7886503,207.5781046
1972,8,180.0957304,259.5114698,226.839998,169.6514309
1972,9,105.3714088,202.2379389,144.8724143,113.9510068
1972,10,106.1111096,89.94561002,122.1103364,91.40314104
1972,11,30.58438197,36.0776392,31.29362835,26.42174073
1972,12,52.40971595,23.65048551,27.85999551,79.89364095
1973,1,175.4861933,167.8102547,155.1491316,193.8495879
1973,2,54.69723343,71.32355373,70.63127309,60.84778761
1973,3,92.368026,135.0265555,109.5355576,78.93316826
1973,4,25.03345025,37.90904579,45.64992463,24.98906269
1973,5,63.50861065,118.6347676,116.3295328,57.48115354
1973,6,166.1860827,356.5662226,259.0515594,115.452887
1973,7,270.7446889,451.4871508,346.2420726,228.8641891
1973,8,262.8730343,394.7442541,315.8429293,228.1854926
1973,9,189.7292754,251.696552,232.6133491,162.3567171
1973,10,145.0544664,160.2075743,198.5424893,96.18102775
1973,11,5.472923174,10.92436871,7.243604211,8.557617191
1973,12,17.38202483,25.39433237,21.52280615,18.13748876
1974,1,93.50781089,96.59445738,93.0374668,97.16178887
1974,2,49.5079801,50.76771107,41.53519603,69.50349092
1974,3,45.08077342,69.84250355,59.42562933,55.88271417
1974,4,47.63790369,66.70516896,90.88987879,41.38651027
1974,5,52.9414445,102.3257426,117.5322055,56.12061503
1974,6,98.50058403,158.0714046,156.9665778,97.47213234
1974,7,246.2861896,344.9368806,285.1989402,219.8133373
1974,8,260.753167,377.522718,313.1994202,257.9200563
1974,9,64.91103814,111.2358722,109.8597578,63.19334336
1974,10,15.42036608,26.29598592,38.94012769,20.34921456
1974,11,9.073010793,12.28975083,11.527609,12.41062717
1974,12,70.15180291,57.17978703,55.61396407,93.43147545
1975,1,125.5676078,139.805168,138.1565427,129.7137205
1975,2,76.89364054,73.31709144,74.12027432,89.68880982
1975,3,129.6053142,136.1221347,128.4795043,139.9151899
1975,4,39.79802434,55.09631579,66.76960219,40.38507707
1975,5,59.22377886,78.65661561,109.8819415,56.76312635
1975,6,198.1634727,327.9399873,287.8674423,181.9051296
1975,7,197.3960501,283.2747274,246.8087758,150.9174201
1975,8,262.3107979,352.6543235,308.5582082,246.4738318
1975,9,169.9099892,288.5357868,231.0849475,163.5104224
1975,10,32.81678698,40.58334482,44.29238916,46.65774569
1975,11,7.010194569,2.374458162,2.187856765,14.22653236
1975,12,7.687796072,8.089867282,7.582136365,14.6369261
1976,1,34.38960626,26.29509277,28.78353261,46.65124168
1976,2,124.9999769,100.3688682,104.422354,158.0726114
1976,3,114.7334624,92.67421823,115.7636882,130.6299523
1976,4,51.52756804,83.2879848,77.27905056,58.08424654
1976,5,54.65470466,89.44162236,91.2696485,37.48087814
1976,6,143.4339074,235.3570901,203.9567338,116.6793476
1976,7,244.3908273,400.4721826,273.7233614,225.7761699
1976,8,223.3608448,316.5153673,262.1783503,192.3169623
1976,9,79.88410416,138.1022785,126.7779143,76.58400684
1976,10,9.78627485,14.92479453,17.47564382,25.23519142
1976,11,8.051418203,3.378344541,5.706820592,13.1203406
1976,12,12.21786466,6.431081707,6.486754551,22.01489531
1977,1,98.63864578,68.53908514,73.29411197,121.2965316
1977,2,41.65244489,29.60439429,31.54527015,51.23009738
1977,3,29.15017909,37.27621892,41.50232489,36.61781125
1977,4,106.5500547,136.206244,150.3426389,117.5867197
1977,5,73.32167862,134.3594743,129.9263703,72.24267564
1977,6,105.2960515,142.3904446,144.5886438,94.2537662
1977,7,296.3937444,469.9994513,347.5748536,255.154408
