year,month,MUGU,KALIKOT,JUMLA,HUMLA
1970,1,-14.31057983,-2.89781249,-11.84681691,-18.35786446
1970,2,-14.67245403,-3.449993311,-13.55571831,-17.96589347
1970,3,-11.81134892,0.158849149,-9.756651074,-14.80317187
1970,4,-5.714742629,6.947828661,-2.995175165,-9.82252337
1970,5,-0.377614388,11.22844332,2.225115215,-3.810605607
1970,6,4.640726297,12.69049701,7.16866015,0.877531066
1970,7,7.031385235,13.70495708,8.830325935,4.087695671
1970,8,7.255911273,13.93614014,9.227855326,4.097294604
1970,9,4.596536859,11.41921132,6.559250981,1.616939883
1970,10,-2.401207506,7.124251082,0.41697199,-6.515197019
1970,11,-7.415930471,2.764548654,-3.884039067,-12.56787781
1970,12,-9.297978368,2.30588181,-5.775289973,-15.0392867
1971,1,-15.85941566,-2.078641913,-12.3574066,-18.92839895
1971,2,-15.53815143,-3.765178193,-13.88549428,-18.95578228
1971,3,-10.65146149,-0.672116515,-9.011840922,-14.5123681
1971,4,-3.563373068,6.503927686,-0.850559665,-7.08459506
1971,5,-0.388746212,8.889786282,1.859460239,-3.845439295
1971,6,6.933147212,13.38995236,8.873680036,3.581290465
1971,7,7.0887072,13.65177302,8.929965342,4.165092197
1971,8,6.74924455,13.27751946,8.531719114,3.758339075
1971,9,2.774020827,10.71490795,5.281869164,-0.420480054
1971,10,-4.196026296,6.71180893,-1.172564517,-7.76984798
1971,11,-12.12697842,2.232821061,-7.507428841,-17.87104408
1971,12,-9.575100054,1.833357087,-6.337059667,-14.83631397
1972,1,-12.02839728,-0.103239199,-8.976942208,-15.92623709
1972,2,-15.63293397,-6.075797572,-14.40448211,-18.49447168
1972,3,-9.896974397,1.020868518,-7.768451818,-13.6064427
1972,4,-7.918958365,4.696045257,-5.044785671,-10.92516545
1972,5,-3.093159853,10.10865936,-0.252685271,-7.297626255
1972,6,3.739089992,13.19640829,5.72079743,0.119148708
1972,7,7.432441345,14.12528826,9.337761861,4.342553448
1972,8,6.026255997,12.90672583,7.982026326,3.115076906
1972,9,2.26135839,10.48249046,4.475570109,-1.542218016
1972,10,-6.727033776,5.630160662,-3.553153586,-9.622748841
1972,11,-12.94394164,1.483750973,-9.441585833,-18.17662382
1972,12,-12.2519118,0.552851501,-9.395552651,-16.2862445
1973,1,-14.77420577,-3.865328422,-12.9135854,-17.97806578
1973,2,-15.44964569,-3.223088288,-12.71667147,-18.53574382
1973,3,-11.65537234,0.105051659,-8.567550352,-15.14289267
1973,4,-7.073085013,4.66839553,-4.455161535,-10.37660341
1973,5,-1.430441684,9.876705115,0.91489283,-4.53864803
1973,6,4.231038159,13.18445876,6.527941732,0.470757635
1973,7,7.499158171,14.0978341,9.365009829,4.488240858
1973,8,6.937842372,13.33446121,8.816307382,3.956431019
1973,9,4.309823727,11.42460284,6.354284542,1.424845065
1973,10,-7.47871688,5.700652967,-3.687461124,-11.01975979
1973,11,-10.31970207,2.703893391,-6.041728753,-15.0784774
1973,12,-13.53665937,-1.280689527,-10.87642731,-18.18184496
1974,1,-15.08033837,-5.041784309,-13.53938635,-18.92763093
1974,2,-15.35993969,-4.028244042,-13.36923165,-17.61910703
1974,3,-8.241596578,2.357442182,-6.130530667,-12.21683081
1974,4,-5.388578403,6.939912121,-2.628146267,-9.174654312
1974,5,-1.162370375,10.1744844,1.27290533,-5.053660175
1974,6,4.014954664,12.38956916,6.042691252,0.147656678
1974,7,6.995593285,13.511397,8.777844913,3.998968337
1974,8,6.817837306,13.58246281,8.778311374,3.813208931
1974,9,2.498795942,10.06072439,4.689679044,-0.422286629
1974,10,-1.328217269,7.347064088,0.989773492,-4.884766433
1974,11,-7.855962358,2.224806269,-4.966892639,-12.83083864
1974,12,-15.90191749,-3.801910864,-13.89949468,-19.03781833
1975,1,-16.80033328,-6.747352282,-15.8768175,-19.58020037
1975,2,-15.95810457,-3.940322642,-13.6254641,-18.93470225
1975,3,-11.51448184,0.379178393,-8.353764147,-15.7484494
1975,4,-7.790790338,3.554366862,-5.454979257,-10.17171231
1975,5,-3.18039663,9.416671789,-0.226243345,-6.75000475
1975,6,3.885955385,13.10555558,5.921349567,0.120865917
1975,7,6.010614379,13.04227222,7.736345388,2.97482318
1975,8,6.365633183,13.28241104,8.232872319,3.487148593
1975,9,4.244159326,11.31525484,6.247197528,0.78392981
1975,10,-2.008925613,7.934374531,1.070903558,-5.393009526
